Panel,Area,Floor,Equipment served,Panel used/cap,Point Tag,Type,Description,Signal / Range,Units,Wired,Terminated,P2P verified,Func. test,Observed value / state,Notes
RS-PH2-1,Penthouse (PH),PH2,,66/72,RS-PH2-1-DI01,DI,Digital input #1,Dry contact - 0 / 1,status,☐,☐,☐,☐,,
RS-PH2-1,Penthouse (PH),PH2,,66/72,RS-PH2-1-DI02,DI,Digital input #2,Dry contact - 0 / 1,status,☐,☐,☐,☐,,
RS-PH2-1,Penthouse (PH),PH2,,66/72,RS-PH2-1-DI03,DI,Digital input #3,Dry contact - 0 / 1,status,☐,☐,☐,☐,,
RS-PH2-1,Penthouse (PH),PH2,,66/72,RS-PH2-1-DI04,DI,Digital input #4,Dry contact - 0 / 1,status,☐,☐,☐,☐,,
RS-PH2-1,Penthouse (PH),PH2,,66/72,RS-PH2-1-DI05,DI,Digital input #5,Dry contact - 0 / 1,status,☐,☐,☐,☐,,
RS-PH2-1,Penthouse (PH),PH2,,66/72,RS-PH2-1-DI06,DI,Digital input #6,Dry contact - 0 / 1,status,☐,☐,☐,☐,,
RS-PH2-1,Penthouse (PH),PH2,,66/72,RS-PH2-1-DI07,DI,Digital input #7,Dry contact - 0 / 1,status,☐,☐,☐,☐,,
RS-PH2-1,Penthouse (PH),PH2,,66/72,RS-PH2-1-DI08,DI,Digital input #8,Dry contact - 0 / 1,status,☐,☐,☐,☐,,
RS-PH2-1,Penthouse (PH),PH2,,66/72,RS-PH2-1-DI09,DI,Digital input #9,Dry contact - 0 / 1,status,☐,☐,☐,☐,,
RS-PH2-1,Penthouse (PH),PH2,,66/72,RS-PH2-1-DI10,DI,Digital input #10,Dry contact - 0 / 1,status,☐,☐,☐,☐,,
RS-PH2-1,Penthouse (PH),PH2,,66/72,RS-PH2-1-DI11,DI,Digital input #11,Dry contact - 0 / 1,status,☐,☐,☐,☐,,
RS-PH2-1,Penthouse (PH),PH2,,66/72,RS-PH2-1-DI12,DI,Digital input #12,Dry contact - 0 / 1,status,☐,☐,☐,☐,,
RS-PH2-1,Penthouse (PH),PH2,,66/72,RS-PH2-1-DI13,DI,Digital input #13,Dry contact - 0 / 1,status,☐,☐,☐,☐,,
RS-PH2-1,Penthouse (PH),PH2,,66/72,RS-PH2-1-DI14,DI,Digital input #14,Dry contact - 0 / 1,status,☐,☐,☐,☐,,
RS-PH2-1,Penthouse (PH),PH2,,66/72,RS-PH2-1-DI15,DI,Digital input #15,Dry contact - 0 / 1,status,☐,☐,☐,☐,,
RS-PH2-1,Penthouse (PH),PH2,,66/72,RS-PH2-1-DI16,DI,Digital input #16,Dry contact - 0 / 1,status,☐,☐,☐,☐,,
RS-PH2-1,Penthouse (PH),PH2,,66/72,RS-PH2-1-DI17,DI,Digital input #17,Dry contact - 0 / 1,status,☐,☐,☐,☐,,
RS-PH2-1,Penthouse (PH),PH2,,66/72,RS-PH2-1-DI18,DI,Digital input #18,Dry contact - 0 / 1,status,☐,☐,☐,☐,,
RS-PH2-1,Penthouse (PH),PH2,,66/72,RS-PH2-1-DI19,DI,Digital input #19,Dry contact - 0 / 1,status,☐,☐,☐,☐,,
RS-PH2-1,Penthouse (PH),PH2,,66/72,RS-PH2-1-DI20,DI,Digital input #20,Dry contact - 0 / 1,status,☐,☐,☐,☐,,
RS-PH2-1,Penthouse (PH),PH2,,66/72,RS-PH2-1-DI21,DI,Digital input #21,Dry contact - 0 / 1,status,☐,☐,☐,☐,,
RS-PH2-1,Penthouse (PH),PH2,,66/72,RS-PH2-1-DI22,DI,Digital input #22,Dry contact - 0 / 1,status,☐,☐,☐,☐,,
RS-PH2-1,Penthouse (PH),PH2,,66/72,RS-PH2-1-DI23,DI,Digital input #23,Dry contact - 0 / 1,status,☐,☐,☐,☐,,
RS-PH2-1,Penthouse (PH),PH2,,66/72,RS-PH2-1-DI24,DI,Digital input #24,Dry contact - 0 / 1,status,☐,☐,☐,☐,,
RS-PH2-1,Penthouse (PH),PH2,,66/72,RS-PH2-1-DI25,DI,Digital input #25,Dry contact - 0 / 1,status,☐,☐,☐,☐,,
RS-PH2-1,Penthouse (PH),PH2,,66/72,RS-PH2-1-DI26,DI,Digital input #26,Dry contact - 0 / 1,status,☐,☐,☐,☐,,
RS-PH2-1,Penthouse (PH),PH2,,66/72,RS-PH2-1-DI27,DI,Digital input #27,Dry contact - 0 / 1,status,☐,☐,☐,☐,,
RS-PH2-1,Penthouse (PH),PH2,,66/72,RS-PH2-1-DI28,DI,Digital input #28,Dry contact - 0 / 1,status,☐,☐,☐,☐,,
RS-PH2-1,Penthouse (PH),PH2,,66/72,RS-PH2-1-DI29,DI,Digital input #29,Dry contact - 0 / 1,status,☐,☐,☐,☐,,
RS-PH2-1,Penthouse (PH),PH2,,66/72,RS-PH2-1-DI30,DI,Digital input #30,Dry contact - 0 / 1,status,☐,☐,☐,☐,,
RS-PH2-1,Penthouse (PH),PH2,,66/72,RS-PH2-1-DI31,DI,Digital input #31,Dry contact - 0 / 1,status,☐,☐,☐,☐,,
RS-PH2-1,Penthouse (PH),PH2,,66/72,RS-PH2-1-DI32,DI,Digital input #32,Dry contact - 0 / 1,status,☐,☐,☐,☐,,
RS-PH2-1,Penthouse (PH),PH2,,66/72,RS-PH2-1-DI33,DI,Digital input #33,Dry contact - 0 / 1,status,☐,☐,☐,☐,,
RS-PH2-1,Penthouse (PH),PH2,,66/72,RS-PH2-1-DI34,DI,Digital input #34,Dry contact - 0 / 1,status,☐,☐,☐,☐,,
