Panel,Panel description,Controller,Device ID,Point Tag,I/O,System,Units,Description,Notes / Basis
LCP-DHC,DHC intake & hot-well panel,DDC-DHC-01,DHC-CHW,DHC-CHW.GJ,AI,DHC interface,GJ,Thermal-energy meter,GJ/h + integrated; thermal-demand control
LCP-DHC,DHC intake & hot-well panel,DDC-DHC-04,HP-5-1,HP-5-1.KW,AI,Heat source,kW,Power,
LCP-DHC,DHC intake & hot-well panel,DDC-DHC-04,HP-5-2,HP-5-2.KW,AI,Heat source,kW,Power,
LCP-DHC,DHC intake & hot-well panel,DDC-DHC-04,HP-3-1,HP-3-1.KW,AI,Heat source,kW,Power,
LCP-DHC,DHC intake & hot-well panel,DDC-DHC-05,HP-3-2,HP-3-2.KW,AI,Heat source,kW,Power,
LCP-DHC,DHC intake & hot-well panel,DDC-DHC-06,MTR-ELEC-MAIN,MTR-ELEC-MAIN,AI,Metering,kWh,Main electricity (kWh),Integrating meter; thermal-demand & peak limiting
LCP-DHC,DHC intake & hot-well panel,DDC-DHC-06,MTR-GAS-MAIN,MTR-GAS-MAIN,AI,Metering,m³,City gas (m³),Integrating meter; thermal-demand & peak limiting
LCP-DHC,DHC intake & hot-well panel,DDC-DHC-06,MTR-WATER-MAIN,MTR-WATER-MAIN,AI,Metering,m³,City water (m³),Integrating meter; thermal-demand & peak limiting
LCP-DHC,DHC intake & hot-well panel,DDC-DHC-07,MTR-DHC-CHW,MTR-DHC-CHW,AI,Metering,GJ,DHC chilled-water energy (受入),Integrating meter; thermal-demand & peak limiting
LCP-DHC,DHC intake & hot-well panel,DDC-DHC-07,MTR-DHC-STEAM,MTR-DHC-STEAM,AI,Metering,t/h,DHC steam energy (受入),Integrating meter; thermal-demand & peak limiting
LCP-DHC,DHC intake & hot-well panel,DDC-DHC-07,MTR-DHC-COND,MTR-DHC-COND,AI,Metering,L,DHC condensate return (HR),Integrating meter; thermal-demand & peak limiting
LCP-CT,Cooling-tower & condenser-water panel,DDC-CT-04,CDP-1-1,CDP-1-1.TRIP,BI,Condenser water,-,Fault / breaker trip,
LCP-CT,Cooling-tower & condenser-water panel,DDC-CT-04,CDP-1-2,CDP-1-2.TRIP,BI,Condenser water,-,Fault / breaker trip,
LCP-CT,Cooling-tower & condenser-water panel,DDC-CT-04,CDP-1-3,CDP-1-3.TRIP,BI,Condenser water,-,Fault / breaker trip,
LCP-CT,Cooling-tower & condenser-water panel,DDC-CT-05,CDP-2-1,CDP-2-1.TRIP,BI,Condenser water,-,Fault / breaker trip,
LCP-CT,Cooling-tower & condenser-water panel,DDC-CT-05,CDP-2-2,CDP-2-2.TRIP,BI,Condenser water,-,Fault / breaker trip,
LCP-CT,Cooling-tower & condenser-water panel,DDC-CT-05,CDP-3-1,CDP-3-1.TRIP,BI,Condenser water,-,Fault / breaker trip,
LCP-CT,Cooling-tower & condenser-water panel,DDC-CT-06,CDP-3-2,CDP-3-2.TRIP,BI,Condenser water,-,Fault / breaker trip,
LCP-CT,Cooling-tower & condenser-water panel,DDC-CT-08,MTR-CDW-KWH,MTR-CDW-KWH,AI,Metering,kWh,Cooling-tower/condenser sub-meter,Integrating meter; thermal-demand & peak limiting
