Panel,Panel description,Controller,Device ID,Point Tag,I/O,System,Units,Description,Notes / Basis
LCP-DHC,DHC intake & hot-well panel,DDC-DHC-01,DHC-CHW,DHC-CHW.CS-T,AI,DHC interface,°C,Supply (CS) temp,DHC冷水受入 ~7°C
LCP-DHC,DHC intake & hot-well panel,DDC-DHC-01,DHC-CHW,DHC-CHW.CR-T,AI,DHC interface,°C,Return (CR) temp,DHC冷水返送
LCP-DHC,DHC intake & hot-well panel,DDC-DHC-01,DHC-CHW,DHC-CHW.CS-P,AI,DHC interface,MPa,Supply header pressure,
LCP-DHC,DHC intake & hot-well panel,DDC-DHC-01,DHC-CHW,DHC-CHW.CR-P,AI,DHC interface,MPa,Return header pressure,
LCP-DHC,DHC intake & hot-well panel,DDC-DHC-01,DHC-CHW,DHC-CHW.FLW,AI,DHC interface,m³/h,Intake flow,
LCP-DHC,DHC intake & hot-well panel,DDC-DHC-01,DHC-CHW,DHC-CHW.GJ,AI,DHC interface,GJ,Thermal-energy meter,GJ/h + integrated; thermal-demand control
LCP-DHC,DHC intake & hot-well panel,DDC-DHC-01,DHC-CHW,DHC-CHW.CV,AO,DHC interface,%,Intake control valve,Modulate to building load
LCP-DHC,DHC intake & hot-well panel,DDC-DHC-01,DHC-CHW,DHC-CHW.CVFB,AI,DHC interface,%,Intake valve position fb,
LCP-DHC,DHC intake & hot-well panel,DDC-DHC-01,DHC-CHW,DHC-CHW.ISOL,BO,DHC interface,-,Intake isolation valve open/close,
LCP-DHC,DHC intake & hot-well panel,DDC-DHC-01,DHC-CHW,DHC-CHW.ISOL-ST,BI,DHC interface,-,Isolation valve status,
LCP-DHC,DHC intake & hot-well panel,DDC-DHC-02,DHC-STEAM,DHC-STEAM.SS-P,AI,DHC interface,MPa,Supply (SS 8k) pressure,~0.8 MPa
LCP-DHC,DHC intake & hot-well panel,DDC-DHC-02,DHC-STEAM,DHC-STEAM.MASS,AI,DHC interface,t/h,Steam mass-flow meter,t/h + integrated kg
LCP-DHC,DHC intake & hot-well panel,DDC-DHC-02,DHC-STEAM,DHC-STEAM.PRV,AO,DHC interface,%,PRV 8k->2k reducing valve,0.8->0.2 MPa
LCP-DHC,DHC intake & hot-well panel,DDC-DHC-02,DHC-STEAM,DHC-STEAM.SSH2-P,AI,DHC interface,MPa,Reduced (SSH 2k) pressure,~0.2 MPa
LCP-DHC,DHC intake & hot-well panel,DDC-DHC-02,DHC-STEAM,DHC-STEAM.ISOL,BO,DHC interface,-,Main isolation valve open/close,Season enable + OA lockout
LCP-DHC,DHC intake & hot-well panel,DDC-DHC-02,DHC-STEAM,DHC-STEAM.ISOL-ST,BI,DHC interface,-,Isolation valve status,
LCP-DHC,DHC intake & hot-well panel,DDC-DHC-02,DHC-STEAM,DHC-STEAM.HR-M,AI,DHC interface,L,Condensate (HR) return meter,Hot-return to DHC via HWT-1
LCP-DHC,DHC intake & hot-well panel,DDC-DHC-03,HWT-1,HWT-1.LVL,AI,Heat source,%,Tank level,
LCP-DHC,DHC intake & hot-well panel,DDC-DHC-03,HWT-1,HWT-1.HI,BI,Heat source,-,High-level alarm,
LCP-DHC,DHC intake & hot-well panel,DDC-DHC-03,HWT-1,HWT-1.LO,BI,Heat source,-,Low-level alarm,
LCP-DHC,DHC intake & hot-well panel,DDC-DHC-03,HWT-1,HWT-1.T,AI,Heat source,°C,Condensate temp,
